18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/admin/businesses/<int:business_id>/prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/whatsapp/messages
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/whatsapp/stats
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/whatsapp/prompts/<int:business_id>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/whatsapp/send
18:10:48 web.1     |   {'POST', 'OPTIONS'} /webhook/whatsapp/incoming
18:10:48 web.1     |   {'POST', 'OPTIONS'} /webhook/whatsapp/status
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/intelligence/customers
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/intelligence/stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/dashboard/stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/dashboard/activity
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /healthz
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /readyz
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /version
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /livez
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /app/admin
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /app/biz
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/admin/overview
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/admin/switch_business
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/admin/tenants/new
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/admin/users/new
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/admin/tenants
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/admin/users
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/whatsapp/threads
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/whatsapp/messages
18:10:48 web.1     |   {'POST', 'OPTIONS'} /ui/whatsapp/send
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/calls/active
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/calls/history
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/biz/contacts
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/biz/contacts/new
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/biz/users/new
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /ui/biz/users
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/ui/login
18:10:48 web.1     |   {'HEAD', 'POST', 'OPTIONS', 'GET'} /api/ui/logout
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/tenants
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/users
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/biz/users
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/contacts
18:10:48 web.1     |   {'POST', 'OPTIONS'} /admin/impersonate/<int:business_id>
18:10:48 web.1     |   {'POST', 'OPTIONS'} /admin/stop-impersonate
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /biz/invoices
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /biz/contracts
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /logout
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /unauthorized
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /test-websocket-version
18:10:48 web.1     | 🔍 Route registration complete
18:10:48 web.1     | 🔧 WebSocket routes removed from Flask - handled by wsgi.py composite
18:10:48 web.1     | ✅ Health routes handled by health_endpoints.py blueprint
18:10:48 web.1     | ✅ Factory debug route registered: /debug-factory-http
18:10:48 web.1     | ✅ /healthz route added directly to app_factory
18:10:48 web.1     | 🆘 Emergency healthz-direct route added
18:10:48 web.1     | ✅ WhatsApp routes removed - using unified only
18:10:48 web.1     | ✅ Baileys proxy routes: 0 /wa/* endpoints
18:10:48 web.1     | ✅ Legacy proxy routes: 0 /api/wa-proxy/* endpoints
18:10:48 web.1     | FE_DIST = /home/runner/workspace/client/dist mtime = 1759681679.9120133
18:10:48 web.1     | 🔧 Database migrations skipped (set RUN_MIGRATIONS_ON_START=1 to enable)
18:10:48 web.1     | 🔧 Server will start immediately without blocking on DB operations
18:10:48 web.1     | 🔧 Warmup disabled for debugging
18:10:48 web.1     | 
18:10:48 web.1     | === URL MAP ===
18:10:48 web.1     |   {'POST', 'OPTIONS'} /admin/impersonate/<int:business_id> -> ui.admin_impersonate_business
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/business -> business_management.create_business
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/business/<int:business_id> -> business_management.get_business
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/admin/business/<int:business_id> -> business_management.update_business
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/business/<int:business_id>/change-password -> business_management.change_business_password
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses -> admin_bp.api_admin_businesses
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses -> api_adapter.admin_businesses
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/businesses/<int:business_id>/impersonate -> business_management.impersonate_business
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses/<int:business_id>/overview -> admin_bp.get_business_overview
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses/<int:business_id>/prompt -> ai_prompt.get_business_prompt
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/admin/businesses/<int:business_id>/prompt -> ai_prompt.update_business_prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses/<int:business_id>/prompt/history -> ai_prompt.get_prompt_history
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/businesses/prompts -> admin_bp.admin_businesses_prompts
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/calls -> admin_bp.api_admin_calls
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/impersonate/exit -> business_management.exit_impersonation
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/businesses -> admin_bp.api_kpis_businesses
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/calls -> admin_bp.api_kpis_calls
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/calls -> admin_bp.api_admin_kpis_calls
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/overview -> admin_bp.api_admin_kpis_overview
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/revenue -> admin_bp.api_kpis_revenue
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/whatsapp -> admin_bp.api_kpis_whatsapp
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/kpis/whatsapp -> admin_bp.api_admin_kpis_whatsapp
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/leads -> admin_bp.admin_leads
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/leads/stats -> admin_bp.admin_leads_stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/overview -> admin_bp.api_overview
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/phone-numbers -> admin_bp.admin_phone_numbers
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/run-migrations -> run_migrations_endpoint
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/stats -> api_adapter.admin_stats
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/statuses/initialize/<int:business_id> -> status_management.initialize_default_statuses
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'PUT', 'GET'} /api/admin/support/phones -> admin_bp.admin_support_phones
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/support/profile -> admin_bp.admin_support_profile
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'PUT', 'GET'} /api/admin/support/prompt -> admin_bp.admin_support_prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/tenants -> admin_bp.api_tenants
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/tenants -> ui.api_admin_tenants_create
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/user -> business_management.create_user
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/admin/user/<int:user_id> -> business_management.get_user
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/admin/user/<int:user_id> -> business_management.update_user
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/user/<int:user_id>/change-password -> business_management.change_user_password
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/user/<int:user_id>/toggle-status -> business_management.toggle_user_status
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/admin/users -> ui.api_admin_users_create
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/auth/csrf -> auth_api.get_csrf
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/auth/current -> auth_api.get_current_user_legacy
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/forgot -> auth_api.forgot_password
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/login -> auth_api.login
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/logout -> auth_api.logout
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/auth/me -> auth_api.get_current_user
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/auth/reset -> auth_api.reset_password
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/contract/<contract_id>/download -> receipts_contracts.download_contract
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/contract/<contract_id>/view -> receipts_contracts.view_contract
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/invoice/<invoice_id>/download -> receipts_contracts.download_invoice
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/billing/invoice/<invoice_id>/view -> receipts_contracts.view_invoice
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/biz/users -> ui.api_biz_users_create
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/business/<tenant>/prompts -> ai_prompt.save_prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/business/current -> business_management.get_current_business
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/business/current/prompt -> ai_prompt.get_current_business_prompt
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/business/current/prompt -> ai_prompt.update_current_business_prompt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/business/current/prompt/history -> ai_prompt.get_current_prompt_history
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/business/current/settings -> business_management.update_current_business_settings
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calendar/appointments -> calendar.get_appointments
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/calendar/appointments -> calendar.create_appointment
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calendar/appointments/<int:appointment_id> -> calendar.get_appointment
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/calendar/appointments/<int:appointment_id> -> calendar.update_appointment
18:10:48 web.1     |   {'OPTIONS', 'DELETE'} /api/calendar/appointments/<int:appointment_id> -> calendar.delete_appointment
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calendar/stats -> calendar.get_calendar_stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls -> calls.list_calls
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/<call_sid>/details -> calls.get_call_details
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/<call_sid>/download -> calls.download_recording
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/active -> crm_bp.api_active_calls
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/calls/cleanup -> calls.cleanup_old_recordings
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/history -> crm_bp.api_call_history
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/calls/stats -> calls.get_calls_stats
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/contracts -> receipts_contracts.create_contract
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/contacts -> ui.api_crm_contacts_create
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/contracts -> crm_bp.get_contracts
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/contracts -> crm_bp.create_contract
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/contracts/sign -> crm_bp.contract_sign
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/customers -> crm_bp.api_customers
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/deals -> crm_bp.list_deals
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/deals -> crm_bp.create_deal
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/invoices/<invoice_number> -> crm_bp.get_invoice
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments -> crm_bp.get_payments
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/crm/payments/create -> crm_bp.payments_create
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/paypal/return/cancel -> crm_bp.paypal_cancel
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/paypal/return/success -> crm_bp.paypal_success
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/tranzila/return/fail -> crm_bp.tranzila_fail
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/payments/tranzila/return/success -> crm_bp.tranzila_success
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/threads -> crm_bp.api_threads
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/crm/threads/<thread_id>/messages -> crm_bp.api_thread_messages
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/dashboard/activity -> api_adapter.dashboard_activity
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/dashboard/stats -> api_adapter.dashboard_stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/intelligence/customers -> intelligence.get_intelligent_customers
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/intelligence/stats -> intelligence.get_intelligence_stats
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads -> leads_bp.list_leads
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads -> leads_bp.create_lead
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id> -> leads_bp.get_lead_detail
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/<int:lead_id> -> leads_bp.update_lead
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id>/activities -> leads_bp.get_lead_activities
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads/<int:lead_id>/message/whatsapp -> leads_bp.send_whatsapp_message
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/<int:lead_id>/move -> leads_bp.move_lead_in_kanban
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id>/reminders -> leads_bp.get_lead_reminders
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads/<int:lead_id>/reminders -> leads_bp.create_reminder
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/leads/<int:lead_id>/reminders/<int:reminder_id> -> leads_bp.get_reminder
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/<int:lead_id>/reminders/<int:reminder_id> -> leads_bp.update_reminder
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/leads/<int:lead_id>/status -> leads_bp.update_lead_status
18:10:48 web.1     |   {'OPTIONS', 'PATCH'} /api/leads/bulk -> leads_bp.bulk_update_leads
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/receipts -> receipts_contracts.create_receipt
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/reminders/due -> leads_bp.get_due_reminders
18:10:48 web.1     |   {'HEAD', 'OPTIONS', 'GET'} /api/statuses -> status_management.get_business_statuses
18:10:48 web.1     |   {'POST', 'OPTIONS'} /api/statuses -> status_management.create_status
18:10:48 web.1     |   {'OPTIONS', 'PUT'} /api/statuses/<int:status_id> -> status_management.update_status
